"","cty_name","iso3numeric","id","year","eiacty","oil_prod32_14","oil_price_2000","oil_price_nom","oil_value_nom","oil_value_2000","oil_value_2014","gas_prod55_14","gas_price_2000_mboe","gas_price_2000","gas_price_nom","gas_value_nom","gas_value_2000","gas_value_2014","oil_gas_value_nom","oil_gas_value_2000","oil_gas_value_2014","oil_gas_valuePOP_nom","oil_gas_valuePOP_2000","oil_gas_valuePOP_2014","oil_exports","net_oil_exports","net_oil_exports_mt","net_oil_exports_value","net_oil_exports_valuePOP","gas_exports","net_gas_exports_bcf","net_gas_exports_mboe","net_gas_exports_value","net_gas_exports_valuePOP","net_oil_gas_exports_valuePOP","population","pop_maddison","sovereign","mult_nom_2000","mult_nom_2014","mult_2000_2014"
"3004","Central African Republic",140,"CAF",1971,"Central African Republic",0,9.413323,2.24,0,0,0,0,14018642.7165789,2.5894240506,0.18,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1883905,1883905,1,4.246452,5.83790976,1.3747735192
"3005","Tanzania",834,"TZA",2004,"Tanzania",0,34.29882,38.265,0,0,0,0.8593087937,32865653.3958405,6.0707099156,5.46,30980636.6158613,28241744.9722145,38826003.1227768,30980636.6158613,28241744.9722145,38826003.1227768,0.8375415448,0.7634973743,1.0496359722,0,0,0,0,0,0,0,0,0,0,0,36989970,36989970,1,0.9115934357,1.2532345156,1.3747735192
"3006","Burkina Faso",854,"BFA",2006,"Burkina Faso",0,55.369,65.1440625,0,0,0,0,31279493.269058,5.77772569,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14343529,14343529,1,0.8541666667,1.1742857143,1.3747735192
"3007","Yemen, Dem. Rep. (South Yemen)",720,"YMD",1947,NA,NA,14.47537,1.9,NA,NA,NA,NA,0,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.704228,10.59156864,1.3747735192
"3008","Cyprus",196,"CYP",2002,"Cyprus",0,23.71533,25.0232558,0,0,0,0,19291137.0404127,3.56332173,2.95,0,0,0,0,0,0,0,0,0,0,-21.56,-1073688,-186625417.902,-243.2190966176,0,0,0,0,0,-243.2190966176,767314,767314,1,0.9571984436,1.3159310728,1.3747735192
"3009","Tunisia",788,"TUN",1932,"Tunisia",NA,10.86086,0.87,NA,NA,NA,NA,0,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.599874,17.32197312,1.3747735192
"3010","Israel",376,"ISR",1978,"Israel",24000,36.53513,14.02,2466398.4,6514015.40613497,8955295.88377914,0.3593212517,20099450.444168,3.7126276371,0.91,2734522.71729617,7222159.69200001,9928833.89573353,5200921.11729617,13736175.098135,18884129.7795127,1.4045307314,3.7095121465,5.0997390681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3702960,3569780,1,2.6411042945,3.6309202454,1.3747735192
"3011","Ghana",288,"GHA",1978,"Ghana",39000,36.53513,14.02,4007897.4,10585275.0349693,14552355.8111411,0,20099450.444168,3.7126276371,0.91,0,0,0,4007897.4,10585275.0349693,14552355.8111411,0.3725798216,0.9840221667,1.3528076171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10757151,10720781,1,2.6411042945,3.6309202454,1.3747735192
"3012","United Kingdom",826,"GBR",1946,"United Kingdom",56284,9.768706,1.12,462069.1264,4069918.72740499,5595216.49158507,NA,0,NA,0.05,NA,NA,NA,462069.1264,4069918.72740499,5595216.49158507,0.0093884049,0.0826933524,0.1136846312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49217000,49217000,1,8.80803,12.1090464,1.3747735192
"3013","Sudan including South Sudan",736,"SDN",1943,"Sudan",NA,11.81433,1.2,NA,NA,NA,NA,0,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9.951438,13.68097344,1.3747735192
